region,year,units,value,scenario
FRA,2030,ug/m3,3.223400735,SSP1
GBR,2030,ug/m3,1.73901394,SSP1
GOLF,2030,ug/m3,35.68625394,SSP1
GRC,2030,ug/m3,6.124090966,SSP1
HUN,2030,ug/m3,4.200003632,SSP1
IDN,2030,ug/m3,9.155442896,SSP1
ITA,2030,ug/m3,6.007865357,SSP1
JPN,2030,ug/m3,7.480108911,SSP1
KAZ,2030,ug/m3,10.35311698,SSP1
MEME,2030,ug/m3,14.31813651,SSP1
MEX,2030,ug/m3,6.9518113,SSP1
MON,2030,ug/m3,11.88907751,SSP1
MYS,2030,ug/m3,5.849492507,SSP1
NDE,2030,ug/m3,37.61768521,SSP1
NOA,2030,ug/m3,16.11973707,SSP1
NOR,2030,ug/m3,3.082041143,SSP1
NZL,2030,ug/m3,9.72576898,SSP1
PAC,2030,ug/m3,4.791628832,SSP1
PHL,2030,ug/m3,4.736237865,SSP1
POL,2030,ug/m3,2.852478307,SSP1
RCAM,2030,ug/m3,7.721601877,SSP1
RCEU,2030,ug/m3,5.670001777,SSP1
RCZ,2030,ug/m3,3.304399598,SSP1
RFA,2030,ug/m3,3.180784711,SSP1
RIS,2030,ug/m3,24.9165456,SSP1
ROM,2030,ug/m3,4.368258272,SSP1
RSA,2030,ug/m3,9.61156979,SSP1
RSAM,2030,ug/m3,5.10627252,SSP1
RSAS,2030,ug/m3,37.18096797,SSP1
RSEA,2030,ug/m3,12.63796331,SSP1
RUE,2030,ug/m3,4.321700285,SSP1
RUS,2030,ug/m3,5.213073605,SSP1
SAF,2030,ug/m3,5.675752332,SSP1
SWE,2030,ug/m3,1.865860506,SSP1
THA,2030,ug/m3,12.13169376,SSP1
TUR,2030,ug/m3,7.02082089,SSP1
TWN,2030,ug/m3,6.383269389,SSP1
UKR,2030,ug/m3,2.959466955,SSP1
USA,2030,ug/m3,4.244165792,SSP1
VNM,2030,ug/m3,20.04446007,SSP1
WAF,2030,ug/m3,27.55646405,SSP1
ARG,2040,ug/m3,3.669570873,SSP1
AUS,2040,ug/m3,4.043472288,SSP1
AUT,2040,ug/m3,2.706280297,SSP1
BGR,2040,ug/m3,4.903858386,SSP1
BLX,2040,ug/m3,2.074436079,SSP1
BRA,2040,ug/m3,3.990433983,SSP1
CAN,2040,ug/m3,4.314420004,SSP1
CHE,2040,ug/m3,5.053815122,SSP1
CHL,2040,ug/m3,21.06009846,SSP1
CHN,2040,ug/m3,20.60690914,SSP1
COR,2040,ug/m3,9.105543077,SSP1
EAF,2040,ug/m3,11.44241893,SSP1
EGY,2040,ug/m3,38.26213977,SSP1
ESP,2040,ug/m3,3.048280693,SSP1
FIN,2040,ug/m3,1.984589217,SSP1
FRA,2040,ug/m3,2.579840785,SSP1
GBR,2040,ug/m3,1.45959756,SSP1
GOLF,2040,ug/m3,33.85012781,SSP1
GRC,2040,ug/m3,5.542176264,SSP1
HUN,2040,ug/m3,3.31749834,SSP1
IDN,2040,ug/m3,8.93639425,SSP1
ITA,2040,ug/m3,4.847464723,SSP1
JPN,2040,ug/m3,6.656306534,SSP1
KAZ,2040,ug/m3,9.87002472,SSP1
MEME,2040,ug/m3,12.61808803,SSP1
MEX,2040,ug/m3,6.882779859,SSP1
MON,2040,ug/m3,11.08620996,SSP1
MYS,2040,ug/m3,5.583219293,SSP1
NDE,2040,ug/m3,38.63102931,SSP1
NOA,2040,ug/m3,16.84742181,SSP1
NOR,2040,ug/m3,2.432090668,SSP1
NZL,2040,ug/m3,9.71213655,SSP1
PAC,2040,ug/m3,4.775458191,SSP1
PHL,2040,ug/m3,4.669927036,SSP1
POL,2040,ug/m3,2.263100591,SSP1
RCAM,2040,ug/m3,7.502231139,SSP1
RCEU,2040,ug/m3,4.919339321,SSP1
RCZ,2040,ug/m3,2.614209116,SSP1
RFA,2040,ug/m3,2.455831021,SSP1
RIS,2040,ug/m3,23.20650127,SSP1
ROM,2040,ug/m3,3.486170277,SSP1
RSA,2040,ug/m3,9.13716823,SSP1
RSAM,2040,ug/m3,5.572860961,SSP1
RSAS,2040,ug/m3,37.96546849,SSP1
RSEA,2040,ug/m3,12.61946622,SSP1
RUE,2040,ug/m3,4.000096706,SSP1
RUS,2040,ug/m3,4.695783858,SSP1
SAF,2040,ug/m3,6.252952775,SSP1
SWE,2040,ug/m3,1.574429798,SSP1
THA,2040,ug/m3,11.83019632,SSP1
TUR,2040,ug/m3,6.245663032,SSP1
TWN,2040,ug/m3,5.610564986,SSP1
UKR,2040,ug/m3,2.335627866,SSP1
USA,2040,ug/m3,3.967624636,SSP1
VNM,2040,ug/m3,19.46714249,SSP1
WAF,2040,ug/m3,28.15647357,SSP1
ARG,2050,ug/m3,3.536290784,SSP1
AUS,2050,ug/m3,4.029757423,SSP1
AUT,2050,ug/m3,2.27206583,SSP1
BGR,2050,ug/m3,4.47801847,SSP1
BLX,2050,ug/m3,1.74473834,SSP1
BRA,2050,ug/m3,3.906762753,SSP1
CAN,2050,ug/m3,4.162933367,SSP1
CHE,2050,ug/m3,4.240314299,SSP1
CHL,2050,ug/m3,20.20739744,SSP1
CHN,2050,ug/m3,19.47456268,SSP1
COR,2050,ug/m3,8.502844362,SSP1
EAF,2050,ug/m3,11.72502635,SSP1
EGY,2050,ug/m3,40.0186797,SSP1
ESP,2050,ug/m3,2.961418072,SSP1
FIN,2050,ug/m3,1.838195262,SSP1
FRA,2050,ug/m3,2.311016745,SSP1
GBR,2050,ug/m3,1.341361923,SSP1
GOLF,2050,ug/m3,33.20968109,SSP1
GRC,2050,ug/m3,5.235217532,SSP1
HUN,2050,ug/m3,2.715104158,SSP1
IDN,2050,ug/m3,8.795171281,SSP1
ITA,2050,ug/m3,4.455472509,SSP1
JPN,2050,ug/m3,6.599248624,SSP1
KAZ,2050,ug/m3,9.58041069,SSP1
MEME,2050,ug/m3,11.98991194,SSP1
MEX,2050,ug/m3,6.520874845,SSP1
MON,2050,ug/m3,10.57392338,SSP1
MYS,2050,ug/m3,5.409720296,SSP1
NDE,2050,ug/m3,38.98898387,SSP1
NOA,2050,ug/m3,17.26025095,SSP1
NOR,2050,ug/m3,2.22849571,SSP1
NZL,2050,ug/m3,9.70861605,SSP1
PAC,2050,ug/m3,4.771112407,SSP1
PHL,2050,ug/m3,4.60590263,SSP1
POL,2050,ug/m3,1.870631666,SSP1
RCAM,2050,ug/m3,7.319988535,SSP1
RCEU,2050,ug/m3,4.489817228,SSP1
RCZ,2050,ug/m3,2.137497792,SSP1
RFA,2050,ug/m3,2.14964957,SSP1
RIS,2050,ug/m3,22.03459121,SSP1
ROM,2050,ug/m3,2.889913718,SSP1
RSA,2050,ug/m3,9.088691119,SSP1
RSAM,2050,ug/m3,5.490248266,SSP1
RSAS,2050,ug/m3,39.39208221,SSP1
RSEA,2050,ug/m3,12.51431782,SSP1
RUE,2050,ug/m3,3.806505486,SSP1
RUS,2050,ug/m3,4.422005814,SSP1
SAF,2050,ug/m3,7.160072684,SSP1
SWE,2050,ug/m3,1.452335728,SSP1
THA,2050,ug/m3,11.56226673,SSP1
TUR,2050,ug/m3,5.814174249,SSP1
TWN,2050,ug/m3,5.255078764,SSP1
UKR,2050,ug/m3,2.219007223,SSP1
USA,2050,ug/m3,3.862707128,SSP1
VNM,2050,ug/m3,18.8521172,SSP1
WAF,2050,ug/m3,28.65680236,SSP1
